surname,origin
reckmann,germanica
recter,germanica
rector,germanica
reddig,germanica
redeke,germanica
redeker,germanica
redekop,germanica
reden,germanica
reder,germanica
redlich,germanica
redmann,germanica
reeb,germanica
reeder,germanica
reeker,germanica
reeps,germanica
rees,germanica
reese,germanica
reetz,germanica
reffelt,germanica
refke,germanica
regel,germanica
regendorf,germanica
regenthal,germanica
reger,germanica
regett,germanica
regetz,germanica
regier,germanica
reginbogin,germanica
regitz,germanica
regling,germanica
regner,germanica
reh,germanica
rehak,germanica
rehbehn,germanica
rehbein,germanica
rehbock,germanica
rehbronn,germanica
rehder,germanica
rehfeld,germanica
rehlen,germanica
rehlinger,germanica
rehm,germanica
rehme,germanica
rehn,germanica
rehnen,germanica
rehner,germanica
rehniet,germanica
rehr,germanica
rehse,germanica
rehwagem,germanica
reiber,germanica
reich,germanica
reichardt,germanica
reiche,germanica
reichel,germanica
reichelt,germanica
reichenbach,germanica
reichenstein,germanica
reichhart,germanica
reichl,germanica
reichmuth,germanica
reichmutti,germanica
reichsthaler,germanica
reicke,germanica
reider,germanica
reidinger,germanica
reidl,germanica
reifenberg,germanica
reifenhauser,germanica
reifenrath,germanica
reiff,germanica
reiffer,germanica
reifkohl,germanica
reil,germanica
reiling,germanica
reim,germanica
reimann,germanica
reimche,germanica
reimelt,germanica
reimenschneider,germanica
reimer,germanica
reimers,germanica
rein,germanica
reinach,germanica
reinacher,germanica
reinack,germanica
reinartz,germanica
reinbach,germanica
reinbold,germanica
reindl,germanica
reinecke,germanica
reinel,germanica
reinelt,germanica
reinemuth,germanica
reiner,germanica
reiners,germanica
reinersmann,germanica
reinert,germanica
reinery,germanica
reinfeld,germanica
reinfelder,germanica
reinfrank,germanica
reingenheim,germanica
reinhard,germanica
reinhardt,germanica
reinhart,germanica
reinheimer,germanica
reinhold,germanica
reinholtz,germanica
reinicke,germanica
reinig,germanica
reininger,germanica
reininghaus,germanica
reinisch,germanica
reinish,germanica
reinke,germanica
reinken,germanica
reinker,germanica
reinle,germanica
reinold,germanica
reinprecht,germanica
reintges,germanica
reinthaler,germanica
reiprich,germanica
reisberger,germanica
reisch,germanica
reischer,germanica
reisenberger,germanica
reiser,germanica
reisert,germanica
reisewitz,germanica
reislander,germanica
reisner,germanica
reissenberger,germanica
reisser,germanica
reissig,germanica
reissmann,germanica
reith,germanica
reitmeier,germanica
reittermair,germanica
reitz,germanica
reitzel,germanica
reitzschel,germanica
relich,germanica
relitz,germanica
reller,germanica
remane,germanica
remenyi,germanica
remitz,germanica
remmerbach,germanica
rempke,germanica
remus,germanica
remy,germanica
renard,germanica
renberg,germanica
rencis,germanica
rendant,germanica
rengert,germanica
rengier,germanica
rengies,germanica
renius,germanica
renk,germanica
renke,germanica
renken,germanica
renkert,germanica
renn,germanica
rennebeck,germanica
rennecke,germanica
rennen,germanica
renner,germanica
rennert,germanica
renninger,germanica
rensch,germanica
renschler,germanica
renter,germanica
rentke,germanica
rentsch,germanica
rentschler,germanica
renz,germanica
renzow,germanica
repenning,germanica
repper,germanica
reppin,germanica
reppmann,germanica
reps,germanica
repsch,germanica
resch,germanica
reschke,germanica
reska,germanica
reske,germanica
ress,germanica
ressel,germanica
ressler,germanica
restle,germanica
retelsdorf,germanica
rettberg,germanica
retter,germanica
rettig,germanica
rettinger,germanica
rettler,germanica
retz,germanica
retzel,germanica
retzlaff,germanica
retzler,germanica
reubig,germanica
reudenbach,germanica
reuel,germanica
reuhs,germanica
reul,germanica
reule,germanica
reumers,germanica
reusch,germanica
reuscher,germanica
reuss,germanica
reuter,germanica
reuther,germanica
reutner,germanica
reutter,germanica
reverchon,germanica
rewald,germanica
rewensky,germanica
rewoldt,germanica
rexroth,germanica
reyer,germanica
reyersbach,germanica
reygers,germanica
reymann,germanica
reynaldo,germanica
reyneke,germanica
reznak,germanica
rhaden,germanica
rhee,germanica
rheinboldt,germanica
rheinhold,germanica
rhiemeier,germanica
rhinow,germanica
rhobodes,germanica
rhomberg,germanica
ribbe,germanica
ribbecki,germanica
ribniker,germanica
richard,germanica
richers,germanica
richeter,germanica
richiger,germanica
richm,germanica
richsters,germanica
richtarsky,germanica
richter,germanica
richteric,germanica
richters,germanica
richthofen,germanica
richtsteig,germanica
rick,germanica
ricken,germanica
ricker,germanica
rickert,germanica
rickmann,germanica
ridder,germanica
rieber,germanica
riebl,germanica
rieble,germanica
riebow,germanica
riebschlager,germanica
riechers,germanica
riechert,germanica
rieck,germanica
rieckmann,germanica
ried,germanica
riedel,germanica
rieder,germanica
riederich,germanica
riedl,germanica
riedmann,germanica
riedmuller,germanica
riedrich,germanica
riefle,germanica
riege,germanica
rieger,germanica
riegert,germanica
riegler,germanica
riehle,germanica
riehm,germanica
riehmann,germanica
riehn,germanica
riek,germanica
rieke,germanica
rieker,germanica
riekert,germanica
riem,germanica
riemann,germanica
riemenschneider,germanica
riemer,germanica
riepenhoff,germanica
rieper,germanica
ries,germanica
riese,germanica
riesen,germanica
riesenbeck,germanica
riesenfeld,germanica
rieser,germanica
riesinger,germanica
riesner,germanica
riess,germanica
riessel,germanica
riessner,germanica
riesterer,germanica
rieswich,germanica
rieswick,germanica
riesz,germanica
rietbrock,germanica
rietz,germanica
rietzler,germanica
riewe,germanica
riexinger,germanica
riezler,germanica
riffa,germanica
riha,germanica
rihm,germanica
rijkuris,germanica
rikaczewski,germanica
rike,germanica
rill,germanica
rilling,germanica
riltzschel,germanica
rinas,germanica
rinck,germanica
rindert,germanica
rindskopf,germanica
ringhofer,germanica
ringlau,germanica
ringlstetter,germanica
ringpfeil,germanica
ringpteil,germanica
rinjes,germanica
rink,germanica
rinke,germanica
rinkewitsch,germanica
rinschede,germanica
rintelen,germanica
ripielter,germanica
ripken,germanica
ripkens,germanica
rippich,germanica
ripple,germanica
risch,germanica
rischar,germanica
rischmuller,germanica
risgruber,germanica
rishko,germanica
risini,germanica
riske,germanica
riski,germanica
risse,germanica
rissel,germanica
rissmann,germanica
rist,germanica
ristau,germanica
ristow,germanica
rith,germanica
ritschel,germanica
ritschl,germanica
ritterbeck,germanica
rittermann,germanica
rittich,germanica
rittig,germanica
rittl,germanica
rittweger,germanica
ritz,germanica
ritzau,germanica
ritzdorf,germanica
ritzel,germanica
ritzenthazer,germanica
ritzinger,germanica
rive,germanica
riwczes,germanica
rix,germanica
rizsch,germanica
rloppe,germanica
roack,germanica
rob,germanica
robbers,germanica
robbert,germanica
rober,germanica
robert,germanica
robertson,germanica
robig,germanica
robitschek,germanica
robl,germanica
robner,germanica
robold,germanica
robrahn,germanica
robusch,germanica
roch,germanica
rochlus,germanica
rochner,germanica
rochocz,germanica
rochotzki,germanica
rochteschel,germanica
rock,germanica
roddecker,germanica
rodder,germanica
rode,germanica
rodeike,germanica
rodenbech,germanica
rodenbeck,germanica
rodenberg,germanica
roder,germanica
roderbourg,germanica
roderfeld,germanica
rodesheim,germanica
rodez,germanica
rodig,germanica
rodionov,germanica
rodke,germanica
rodloff,germanica
roebke,germanica
roechow,germanica
roeckl,germanica
roeckner,germanica
roeddecker,germanica
roedel,germanica
roeder,germanica
roederer,germanica
roehlen,germanica
roehner,germanica
roehr,germanica
roehrs,germanica
roemer,germanica
roempler,germanica
roepcke,germanica
roeper,germanica
roeschl,germanica
roese,germanica
roeshz,germanica
roeske,germanica
roesler,germanica
roetz,germanica
roewer,germanica
rogasch,germanica
rogener,germanica
rogg,germanica
rogge,germanica
roggenkamp,germanica
rohaewohld,germanica
rohardt,germanica
rohde,germanica
rohl,germanica
rohlamann,germanica
rohleder,germanica
rohler,germanica
rohlf,germanica
rohloff,germanica
rohm,germanica
rohmann,germanica
rohmeier,germanica
rohnstock,germanica
rohrbach,germanica
rohrer,germanica
rohrig,germanica
rohring,germanica
rohsmann,germanica
rohwedder,germanica
roithmeier,germanica
rojahn,germanica
rokahar,germanica
roland,germanica
roleke,germanica
rolf,germanica
rolfer,germanica
rolfsen,germanica
roling,germanica
rolke,germanica
rollbusch,germanica
roller,germanica
rolletsek,germanica
rollman,germanica
rollmann,germanica
rollny,germanica
rollwagens,germanica
roloff,germanica
rom,germanica
romag,germanica
romahn,germanica
romaike,germanica
romanjuk,germanica
romankiewicz,germanica
rombach,germanica
romberg,germanica
rombold,germanica
romeike,germanica
romer,germanica
romers,germanica
romerscheidt,germanica
romey,germanica
rommel,germanica
rommer,germanica
rona,germanica
rondholz,germanica
ronn,germanica
ronnfeldt,germanica
ronza,germanica
roos,germanica
roosen-runge,germanica
ropcke,germanica
roper,germanica
ropke,germanica
roppert,germanica
rosador,germanica
rosar,germanica
rosch,germanica
rosche,germanica
roscher,germanica
roschke,germanica
roschmann,germanica
rose,germanica
roseh,germanica
rosel,germanica
rosemann,germanica
rosenberger,germanica
rosenblum,germanica
rosener,germanica
rosenferd,germanica
rosengarten,germanica
rosenhaeger,germanica
rosenhahn,germanica
rosenheim,germanica
rosenhuber,germanica
rosenmayer,germanica
rosenstiel,germanica
rosenstock,germanica
rosenthal,germanica
rosentreter,germanica
roser,germanica
rosien,germanica
rosler,germanica
rosmann,germanica
rosmus,germanica
rosner,germanica
rosom,germanica
rospendowski,germanica
ross,germanica
rossberg,germanica
rosse,germanica
rossel,germanica
rossenthal,germanica
rosser,germanica
rossger,germanica
rossine,germanica
rosskopf,germanica
rossler,germanica
rosslev,germanica
rossmaier,germanica
rossner,germanica
rossol,germanica
rossow,germanica
rost,germanica
rosteck,germanica
roster,germanica
rostin,germanica
rostock,germanica
rotermund,germanica
roters,germanica
rotger,germanica
roth,germanica
rothaeusler,germanica
rothdeutsch,germanica
rothe,germanica
rothel,germanica
rotheleder,germanica
rothemann,germanica
rothemberger,germanica
rothenbach,germanica
rothenberger,germanica
rothenbuecher,germanica
rothenbuocher,germanica
rother,germanica
rothermund,germanica
rothert,germanica
rothfelder,germanica
rothganger,germanica
rothhegel,germanica
rothig,germanica
rothkirch,germanica
rothleder,germanica
rothmann,germanica
rothmund,germanica
rothschild,germanica
rothweiler,germanica
rotsch,germanica
rotschke,germanica
rott,germanica
rotten,germanica
rottenberger,germanica
rottengruber,germanica
rotter,germanica
rottger,germanica
rottgering,germanica
rotthaler,germanica
rotthoff,germanica
rottig,germanica
rottmann,germanica
rottner,germanica
rottrmann,germanica
rottschafer,germanica
rottweiler,germanica
rotzenblun,germanica
rotzin,germanica
roubiczek,germanica
rowe,germanica
rowedder,germanica
rowold,germanica
rox,germanica
roxin,germanica
roy,germanica
rozeck,germanica
rozek,germanica
rozinat,germanica
rrichaert,germanica
rub,germanica
rubach,germanica
rube,germanica
rubel,germanica
ruben,germanica
rubenfeld,germanica
rubens,germanica
rubensdorffer,germanica
rubenstahl,germanica
rubling,germanica
rubly,germanica
rubow,germanica
rubsamen,germanica
ruch,germanica
ruck,germanica
ruckeis,germanica
rucker,germanica
ruckert,germanica
ruckgauer,germanica
ruckgawer,germanica
ruckriem,germanica
rucks,germanica
ruckstadter,germanica
rudachowski,germanica
rudel,germanica
rudelbach,germanica
ruder,germanica
rudert,germanica
rudhart,germanica
rudiger,germanica
rudinger,germanica
rudloff,germanica
rudnik,germanica
rudnitzky,germanica
rudolf,germanica
rudolph,germanica
rudolphi,germanica
rudorff,germanica
rueb,germanica
ruebener,germanica
rueche,germanica
rueckl,germanica
ruediger,germanica
ruegenberg,germanica
ruegg,germanica
ruess,germanica
ruez,germanica
ruf,germanica
rufeisen,germanica
ruff,germanica
ruffer,germanica
ruffing,germanica
ruger,germanica
rugies,germanica
ruhe,germanica
ruhig,germanica
ruhl,germanica
ruhland,germanica
ruhle,germanica
ruhmkorb,germanica
ruhnke,germanica
ruhrlander,germanica
ruhz,germanica
rui,germanica
ruiter,germanica
rukope,germanica
rukopf,germanica
rulf,germanica
rulke,germanica
rumelin,germanica
rumker,germanica
rumler,germanica
rummel,germanica
rummelin,germanica
rummert,germanica
rump,germanica
rumpel,germanica
rumpenhoust,germanica
rumpf,germanica
rumpler,germanica
runau,germanica
rund,germanica
rundel,germanica
runge,germanica
runk,germanica
runkel,germanica
runte,germanica
runze,germanica
ruoff,germanica
rupe,germanica
rupp,germanica
ruppel,germanica
ruppelt,germanica
ruppenheit,germanica
ruppenthal,germanica
ruppert,germanica
rupprecht,germanica
ruppreht,germanica
ruprich,germanica
rusch,germanica
rusche,germanica
ruscheinsky,germanica
ruscher,germanica
ruscheweyh,germanica
ruschig,germanica
ruschmeier,germanica
rusenavsky,germanica
rusing,germanica
russ,germanica
russig,germanica
russmann,germanica
russner,germanica
russuer,germanica
rust,germanica
rustarz,germanica
rustemeyer,germanica
ruster,germanica
ruszach,germanica
rutner,germanica
rutofsky,germanica
rutsehmann,germanica
rutten,germanica
ruttkowski,germanica
rutz,germanica
rutzler,germanica
ruwe,germanica
ruyter,germanica
rybachi,germanica
rybandt,germanica
rybar,germanica
ryborsch,germanica
rychlak,germanica
rydian,germanica
ryll,germanica
rzeka,germanica
rzeppa,germanica
rzezak,germanica
saake,germanica
saalfeld,germanica
saalmann,germanica
saar,germanica
saarmann,germanica
saatkamp,germanica
sabarth,germanica
sabatke,germanica
sabb,germanica
sabel,germanica
sablewski,germanica
sablowski,germanica
sabolewski,germanica
sabor,germanica
sacchettoni,germanica
sach,germanica
sachers,germanica
sachs,germanica
sachse,germanica
sachsenroder,germanica
sachtleben,germanica
sackl,germanica
sackmann,germanica
saddey,germanica
sadewasser,germanica
sadler,germanica
sadlo,germanica
saeger,germanica
saenger,germanica
saettler,germanica
saft,germanica
sagawe,germanica
sagel,germanica
sager,germanica
saget,germanica
saher,germanica
sahn,germanica
sahrenholz,germanica
saier,germanica
saifarth,germanica
saifert,germanica
saile,germanica
sailer,germanica
sakmann,germanica
sakuth,germanica
salaar,germanica
saland,germanica
salaske,germanica
salawee,germanica
salchow,germanica
salden,germanica
salder,germanica
saler,germanica
saleta,germanica
salewski,germanica
saliger,germanica
salinger,germanica
sallai,germanica
sallubier,germanica
salm,germanica
salm-salm,germanica
salmanson,germanica
salmon,germanica
salomon,germanica
salopiata,germanica
salter,germanica
saltzmann,germanica
salz,germanica
salzbrunn,germanica
salzer,germanica
salzmann,germanica
sameck,germanica
sammet,germanica
samringer,germanica
samson,germanica
samter,germanica
samtleben,germanica
samuel,germanica
sandel,germanica
sanden,germanica
sander,germanica
sandffoss,germanica
sandhagen,germanica
sandhof,germanica
sandig,germanica
sandmann,germanica
sandner,germanica
sandow,germanica
sandreczky,germanica
sandring,germanica
sandt,germanica
sandtfoss,germanica
sandvoss,germanica
saner,germanica
sanktjohanser,germanica
sanmann,germanica
sanner,germanica
sanpp,germanica
santl,germanica
santouski,germanica
santoviski,germanica
santowiski,germanica
santowski,germanica
saprotyki,germanica
sara,germanica
sarembe,germanica
saretzki,germanica
sarfert,germanica
sargenicht,germanica
saric,germanica
sarikaya,germanica
sarin,germanica
sarnighausen,germanica
sarstedt,germanica
sartorius,germanica
saskanann,germanica
sasse,germanica
sassenbach,germanica
sassenscheidt,germanica
saternus,germanica
satl,germanica
sator,germanica
satrapa,germanica
sattler,germanica
sattmann,germanica
satzke,germanica
sauberlich,germanica
sauer,germanica
sauerteig,germanica
sauerwald,germanica
sauff,germanica
saun,germanica
saunar,germanica
saure,germanica
saust,germanica
sauter,germanica
sautner,germanica
sautter,germanica
savade,germanica
savin,germanica
sawade,germanica
sawallisch,germanica
sawarzynaski,germanica
sawarzynski,germanica
sawery,germanica
sayer,germanica
sayfarth,germanica
sbach,germanica
sberovski,germanica
scabell,germanica
scarbatha,germanica
scelski,germanica
scensliwy,germanica
sch,germanica
schaaf,germanica
schaaffhausen,germanica
schaalmann,germanica
schaar,germanica
schaare,germanica
schaarschmidt,germanica
schaarwachter,germanica
schaarwaechter,germanica
schaarwechter,germanica
schabbel,germanica
schabel,germanica
schaber,germanica
schaberle,germanica
schachershner,germanica
schacht,germanica
schachtel,germanica
schachtitz,germanica
schachtner,germanica
schack,germanica
schad,germanica
schade,germanica
schadel,germanica
schadler,germanica
schadlich,germanica
schadow,germanica
schaedel,germanica
schaefer,germanica
schaeffer,germanica
schaeffner,germanica
schaeffter,germanica
schaeler,germanica
schaer,germanica
schafer,germanica
schafers,germanica
schaffer,germanica
schafferle,germanica
schaffland,germanica
schaffler,germanica
schaffner,germanica
schafstein,germanica
schaible,germanica
schaich,germanica
schaldach,germanica
schalfer,germanica
schalk,germanica
schall,germanica
schalldach,germanica
schallenberg,germanica
schallenmuller,germanica
schaller,germanica
schalling,germanica
schallitz,germanica
schallmair,germanica
schallowetz,germanica
schalok,germanica
schamall,germanica
schamalzi,germanica
schamert,germanica
schammra,germanica
schamp,germanica
schamuhn,germanica
schanberger,germanica
schandert,germanica
schanenburg,germanica
schank,germanica
schanz,germanica
schaper,germanica
schapowal,germanica
schapp,germanica
schappart,germanica
schappert,germanica
schaprian,germanica
scharch,germanica
schardin,germanica
schardt,germanica
scharfenberg,germanica
scharff,germanica
scharlinski,germanica
scharlinsky,germanica
scharmacher,germanica
scharnberg,germanica
scharnhorst,germanica
scharnke,germanica
scharpenberg,germanica
scharpf,germanica
scharpfenecker,germanica
scharrenbroich,germanica
scharrer,germanica
scharwies,germanica
schatta,germanica
schattmann,germanica
schattner,germanica
schatz,germanica
schatzer,germanica
schatzinger,germanica
schatzle,germanica
schatzler,germanica
schaub,germanica
schaubele,germanica
schauder,germanica
schaudt,germanica
schauenburg,germanica
schauer,germanica
schauerhammer,germanica
schauerte,germanica
schauff,germanica
schaufler,germanica
schauka,germanica
schaul,germanica
schaull,germanica
schaum,germanica
schaumann,germanica
schaumberger,germanica
schaumkessel,germanica
schaupenlehner,germanica
schaupner,germanica
schebesta,germanica
scheck,germanica
scheddin,germanica
schedel,germanica
schedier,germanica
schedlinski,germanica
scheeder,germanica
scheel,germanica
scheele,germanica
scheer,germanica
scheerer,germanica
scheerschmidt,germanica
scheffel,germanica
scheffer,germanica
scheffler,germanica
scheffold,germanica
schegg,germanica
scheib,germanica
scheibe,germanica
scheibel,germanica
scheiber,germanica
scheiberg,germanica
scheibig,germanica
scheibl,germanica
scheibler,germanica
scheibner,germanica
scheicher,germanica
scheichert,germanica
scheid,germanica
scheide,germanica
scheidemann,germanica
scheidemantel,germanica
scheider,germanica
scheidermann,germanica
scheidl,germanica
scheidmann,germanica
scheidt,germanica
scheier,germanica
scheiger,germanica
scheihing,germanica
scheil,germanica
schein,germanica
scheiner,germanica
scheire,germanica
scheitenberger,germanica
scheithauer,germanica
scheiwe,germanica
schek,germanica
schekiera,germanica
scheld,germanica
schele,germanica
schelhorn,germanica
schelian,germanica
schelich,germanica
schelienberg,germanica
scheliga,germanica
schelke,germanica
schelkes,germanica
schell,germanica
schellbach,germanica
schelle,germanica
schellenberg,germanica
schellenberger,germanica
scheller,germanica
schellewald,germanica
schelling,germanica
schellinger,germanica
schellmann,germanica
schellworth,germanica
schelmann,germanica
scheloski,germanica
schelter,germanica
schemann,germanica
schemil,germanica
schempf,germanica
schenberger,germanica
schenck,germanica
schendel,germanica
schendzielorz,germanica
scheneidler,germanica
schenfel,germanica
schenfeld,germanica
schenk,germanica
schenke,germanica
schenkel,germanica
schenrock,germanica
scheper,germanica
schepers,germanica
schepf,germanica
scheppach,germanica
scheppers,germanica
scherch,germanica
schereck,germanica
scherenkenber,germanica
scherer,germanica
scherl,germanica
schernik,germanica
scherpe,germanica
scherr,germanica
scherwitz,germanica
schessner,germanica
schetzker,germanica
scheu,germanica
scheucher,germanica
scheuer,germanica
scheuerer,germanica
scheuermann,germanica
scheulen,germanica
scheuneman,germanica
scheunemann,germanica
scheurenberg,germanica
scheurer,germanica
scheuring,germanica
scheven,germanica
scheviora,germanica
schewerin,germanica
schewiora,germanica
schey,germanica
scheye,germanica
scheyer,germanica
schickler,germanica
schicktanz,germanica
schiefer,germanica
schiek,germanica
schiel,germanica
schiele,germanica
schiemann,germanica
schiene,germanica
schiener,germanica
schierholz,germanica
schierz,germanica
schiesinger,germanica
schiessl,germanica
schietzsch,germanica
schiewaldt,germanica
schiewe,germanica
schieweck,germanica
schiewig,germanica
schiffer,germanica
schiffler,germanica
schiffmann,germanica
schiftan,germanica
schikiera,germanica
schilbach,germanica
schildberg,germanica
schildehauer,germanica
schilder,germanica
schildhauer,germanica
schildmann,germanica
schildt,germanica
schiler,germanica
schilink,germanica
schill,germanica
schiller,germanica
schillhabel,germanica
schilling,germanica
schillinger,germanica
schimanski,germanica
schimbera,germanica
schimdt,germanica
schimek,germanica
schimiede,germanica
schimitt,germanica
schimitz,germanica
schimmel,germanica
schimmelpfennig,germanica
schimmerling,germanica
schimonsky,germanica
schimpf,germanica
schimpl,germanica
schimple,germanica
schimura,germanica
schindelegger,germanica
schindler,germanica
schinitzer,germanica
schinka,germanica
schinker,germanica
schinkermeyer,germanica
schinkmann,germanica
schinner,germanica
schiosinsky,germanica
schipke,germanica
schipkowski,germanica
schippers,germanica
schippmann,germanica
schippnick,germanica
schippnik,germanica
schippone,germanica
schirlitz,germanica
schirm,germanica
schirmacher,germanica
schirmer,germanica
schirneck,germanica
schirnhofer,germanica
schirokauer,germanica
schirrmann,germanica
schister,germanica
schittat,germanica
schittenhel,germanica
schittenhelm,germanica
schittko,germanica
schittkowki,germanica
schiweck,germanica
schiwy,germanica
schkade,germanica
schkol,germanica
schlaad,germanica
schlachtenberger,germanica
schlage,germanica
schlager,germanica
schlamm,germanica
schlandt,germanica
schlange,germanica
schlantmann,germanica
schlapp,germanica
schlappkohl,germanica
schlarbaum,germanica
schlauch,germanica
schlaudraff,germanica
schlautmann,germanica
schlay,germanica
schlebinger,germanica
schlechter,germanica
schlechtriem,germanica
schlede,germanica
schledorn,germanica
schlegel,germanica
schlegelmilch,germanica
schleger,germanica
schlegl,germanica
schlehaider,germanica
schleich,germanica
schleier,germanica
schleifer,germanica
schleiffer,germanica
schleiner,germanica
schleinitz,germanica
schleinkofer,germanica
schlemer,germanica
schlemmer,germanica
schlenert,germanica
schlenk,germanica
schlenker,germanica
schlenmer,germanica
schlenther,germanica
schlenz,germanica
schlesier,germanica
schlesinger,germanica
schleumer,germanica
schleupen,germanica
schleuter,germanica
schlevoigt,germanica
schlewnsky,germanica
schleyer,germanica
schleypen,germanica
schliack,germanica
schlicht,germanica
schlichtarle,germanica
schlichtharle,germanica
schlickau,germanica
schlidronmaise,germanica
schlieben,germanica
schliemann,germanica
schlieper,germanica
schlierkamp,germanica
schliessmann,germanica
schlieszus,germanica
schlik,germanica
schlimmer,germanica
schling,germanica
schlingensiepen,germanica
schlink,germanica
schlinkert,germanica
schlinz,germanica
schlipper,germanica
schlitt,germanica
schliwa,germanica
schlochauer,germanica
schlodorick,germanica
schlogel,germanica
schlogl,germanica
schloicka,germanica
schloimann,germanica
schlosinski,germanica
schlosinsky,germanica
schloske,germanica
schloss,germanica
schlossner,germanica
schlote,germanica
schlotmann,germanica
schlotterhose,germanica
schlottmann,germanica
schloz,germanica
schlozer,germanica
schluberg,germanica
schlucking,germanica
schlueter,germanica
schlumbom,germanica
schlunder,germanica
schlunke,germanica
schlunz,germanica
schlup,germanica
schluschen,germanica
schlusser,germanica
schluter,germanica
schmacher,germanica
schmackelsen,germanica
schmadel,germanica
schmaderer,germanica
schmahl,germanica
schmal,germanica
schmalenberg,germanica
schmalz,germanica
schmalzigang,germanica
schmalzigaug,germanica
schmalzl,germanica
schmandt,germanica
schmarr,germanica
schmauder,germanica
schmaus,germanica
schmedes,germanica
schmehl,germanica
schmeihser,germanica
schmeil,germanica
schmeing,germanica
schmeis,germanica
schmeiser,germanica
schmeisser,germanica
schmeling,germanica
schmeljewa,germanica
schmelz,germanica
schmelzer,germanica
schmenger,germanica
schmerberg,germanica
schmerling,germanica
schmersahl,germanica
schmersensky,germanica
schmettow,germanica
schmetz,germanica
schmickler,germanica
schmid,germanica
schmider,germanica
schmidgall,germanica
schmidmeier,germanica
schmidpeter,germanica
schmidt,germanica
schmied,germanica
schmieder,germanica
schmiedl,germanica
schmiedt,germanica
schmieg,germanica
schmiemann,germanica
schmieske,germanica
schmits,germanica
schmitt,germanica
schmittenberg,germanica
schmitter,germanica
schmitz,germanica
schmock,germanica
schmolder,germanica
schmoller,germanica
schmolz,germanica
schmolzmeier,germanica
schmucker,germanica
schmuckle,germanica
schmued,germanica
schmujlow,germanica
schmul,germanica
schmulgen,germanica
schmullius,germanica
schmutter,germanica
schmutz,germanica
schmutzler,germanica
schnabel,germanica
schnabl,germanica
schnack,germanica
schnaithmann,germanica
schnapp,germanica
schnare,germanica
schnaubelt,germanica
schnaulbelt,germanica
schnebele,germanica
schneckenburger,germanica
schnee,germanica
schneeberg,germanica
schneeberger,germanica
schneedorf,germanica
schneemann,germanica
schneesche,germanica
schneider,germanica
schneiderlin,germanica
schneiders,germanica
schneidewind,germanica
schneiter,germanica
schnek,germanica
schnell,germanica
schneller,germanica
schnener,germanica
schnepf,germanica
schnepp,germanica
schnepper,germanica
schnetger,germanica
schnettler,germanica
schnetz,germanica
schnickwald,germanica
schnid,germanica
schnieke,germanica
schniepp,germanica
schnitzer,germanica
schnitzius,germanica
schnitzlein,germanica
schnitzler,germanica
schnizler,germanica
schnoller,germanica
schnook,germanica
schnoor,germanica
schnor,germanica
schnorr,germanica
schnuderl,germanica
schnuerle,germanica
schnug,germanica
schnugg,germanica
schnur,germanica
schnurle,germanica
schob,germanica
schobel,germanica
schobelt,germanica
schober,germanica
schoberl,germanica
schobert,germanica
schoch,germanica
schock,germanica
schocken,germanica
schoder,germanica
schoedon,germanica
schoel,germanica
schoeller,germanica
schoemberner,germanica
schoemer,germanica
schoen,germanica
schoenbeck,germanica
schoenbeger,germanica
schoenberg,germanica
schoenberger,germanica
schoenborn,germanica
schoenburg,germanica
schoene,germanica
schoenenberg,germanica
schoenermark,germanica
schoenert,germanica
schoenfeld,germanica
schoenhoff,germanica
schoenholtz,germanica
schoening,germanica
schoenke,germanica
schoenlein,germanica
schoenmann,germanica
schoenroch,germanica
schoepe,germanica
schoeps,germanica
schoerner,germanica
schoettler,germanica
schofel,germanica
schoffel,germanica
schofl,germanica
schoft,germanica
schoierer,germanica
schoirer,germanica
scholem,germanica
scholer,germanica
scholich,germanica
scholl,germanica
schollenberger,germanica
scholler,germanica
schollgen,germanica
schollmeier,germanica
scholtysik,germanica
scholtyssek,germanica
scholtz,germanica
scholz,germanica
scholze,germanica
scholzel,germanica
schomburg,germanica
schomers,germanica
schommer,germanica
schonauer,germanica
schonbaum,germanica
schonberger,germanica
schonbock,germanica
schonborn,germanica
schondorf,germanica
schone,germanica
schonebech,germanica
schonebeck,germanica
schoneberg,germanica
schoneberger,germanica
schoneborn,germanica
schonegge,germanica
schonemann,germanica
schonemeier,germanica
schonenbach,germanica
schonenberg,germanica
schoner,germanica
schonert,germanica
schonewolf,germanica
schonfeldt,germanica
schonhardt,germanica
schonherr,germanica
schonhofer,germanica
schonhoff,germanica
schonian,germanica
schonig,germanica
schoning,germanica
schonit,germanica
schonle,germanica
schonlein,germanica
schonrock,germanica
schonwald,germanica
schoof,germanica
schook,germanica
schopf,germanica
schopinski,germanica
schopmans,germanica
schopp,germanica
schoppan,germanica
schoppe,germanica
schoppenthau,germanica
schoppmann,germanica
schoppner,germanica
schops,germanica
schorb,germanica
schorcht,germanica
schorer,germanica
schorl,germanica
schorle,germanica
schorm,germanica
schormann,germanica
schorn,germanica
schors,germanica
schorsch,germanica
schorscher,germanica
schorshusen,germanica
schoss,germanica
schossland,germanica
schossler,germanica
schosster,germanica
schostal,germanica
schotte,germanica
schottenheim,germanica
schottl,germanica
schottler,germanica
schouberger,germanica
schourok,germanica
schowe,germanica
schpakovsky,germanica
schrade,germanica
schrader,germanica
schrage,germanica
schramek,germanica
schrameyer,germanica
schramm,germanica
schrank,germanica
schranz,germanica
schrapel,germanica
schraube,germanica
schreck,germanica
